First,Middle,Last
Aemilius,M.,de Augustinis
Gulielmus,F.,Clarke
Josephus,M.,Colle de Vita
Antonius,Van,de Heuvel
Gulielmus,G. R.,Mullan
Joannes,F. X.,O'Conor
Joannes,P. M.,Schleuter
Josephus,P.,de Smedt
Henricus,T. B.,Tarr
Joannes,B.,de Wolf
Franciscus,X. A.,Brady
Joannes,B.,Archambault
Josephus,M.,Ardia
Carolus,P.,Bahan
Joannes,J.,Becket
Petrus,J.,Blenkinsop
Eduardus,D.,Boone
Alphonsus,A.,Boursaud
Eduardus,V.,Boursaud
Franciscus,F.,Bowes
ROBERTUS,W.,BRADY
Franciscus,X.,Brady
D.,Leo,Brand
Patritius,H.,Brennan
Jacobus,J.,Bric
Aloysius,A.,Brosnan
V.,Howard,Brown
Gulielmus,B.,Brownrigg
Joannes,A.,Buckley
Robertus,F.,Byrne
Michael,F.,Byrne
Michael,J.,Byrnes
Gulielmus,H.,Carroll
Joannes,A.,Chester
Antonius,F.,Ciampi
Gulielmus,B.,Cleary
Joannes,M.,Colgan
Joannes,J.,Collins
Jacobus,W.,Collins
Jacobus,W.,Collins
Joannes,A.,Conway
Jacobus,F.,Corbley
Michael,P.,Costin
Gulielmus,R.,Cowardin
Joannes,S.,Coyle
Florentius,J.,Crowley
David,C.,Daly
Joannes,J.,Denn
H.,Carolus,Denny
Eduardus,I.,Devitt
Gulielmus,J.,Doherty
Daniel,A.,Doherty
Michael,C.,Dolan
Simon,P.,Dompieri
Patritius,J.,Dooley
Jacobus,A.,Doonan
Jacobus,A.,Dowling
Michael,P.,Dowling
Joannes,C.,Downs
Joannes,A.,Doyle
Gulielmus,H.,Duncan
Joannes,B.,Emig
Eduardus,X.,Fink
Petrus,P.,Fitzpatrick
Michael,J.,Fleming
G.,Aloysius,Fortier
Thomas,J.,Freeman
Eugenius,L.,French
Joannes,P.,Frieden
Carolus,H.,Fulmer
Hippolytus,L.,Gache
Joannes,B.,Gaffney
Joannes,F.,Galligan
Thomas,J.,Gannon
Thomas,J.,Gannon
Jacobus,T.,Gardiner
Jacobus,T.,Gardiner
Thomas,J.,Gasson
Josephus,F.,Gerlach
Joannes,J.,Gillespie
Eduardus,J.,Gleeson
Frid.,Gulielmus,Gockeln
Josephus,A.,Gorman
Virgilius,S.,Gouldin
Gulielmus,F.,Gregory
Gulielmus,F.,Gregory
Patritius,A.,Halpin
Gulielmus,F.,Hamilton
Joannes,H.,Hammil
Josephus,H.,Hann
Joannes,F.,Harkins
Joannes,C.,Hart
Daniel,A.,Haugh
Thomas,W.,Hayes
Patritius,F.,Healy
Joannes,T.,Hedrick
Carolus,H.,Heichemer
Hubertus,J.,Heidenreich
Michael,P.,Hill
Eugenius,F.,Hill
Josephus,J.,Himmelheber
Michael,P.,Hogan
Jacobus,F.,Holland
Fridericus,J.,Holland
Martinus,J.,Hollohan
Aloysius,J.,Jacquet
Alexius,L.,Jamison
Carolus,K.,Jenkins
Josephus,M.,Jerge
Carolus,C.,Jones
Patritius,A.,Jordan
Gulielmus,H.,Judge
Joannes,Bapt.,Jungck
Andreas,P.,Keating
Jacobus,V.,Kelley
Stephanus,A.,Kelly
Dionysius,A.,Kelly
Thomas,P.,Kernan
Henricus,de,Laak
Joannes,B.,Lamb
Carolus,C.,Lancaster
Clemens,S.,Lancaster
Joannes,F.,Lehy
Joannes,F.,Lehy
Hugo,A.,Loague
Daniel,I.,Lowry
Arthurus,J.,MacAvoy
Arthurus,J.,MacAvoy
Hugo,L.,Magevney
Bernardus,A.,Maguire
Joannes,F.,Mahan
Antonius,M.,Mandalari
Joannes,B.,Mattingly
Josephus,A.,Mattson
Patritius,J.,McGinney
Franciscus,X.,McGovern
Franciscus,W.,McGurk
Franciscus,W.,McGurk
Eduardus,A.,McGurk
Jacobus,A.,McHugh
Nilus,N.,McKinnon
Milesius,A.,McLoughlin
Theobaldus,M.,McNamara
Patritius,A.,McQuillan
Josephus,H.,Meuffels
Joannes,B.,Meurer
Augustinus,K.,Meyer
Ferdinandus,A.,Moeller
Joannes,A.,Morgan
Franciscus,B.,Moyer
Joannes,B.,Mullaly
Joannes,M.,Murphy
Joannes,M.,Murphy
Michael,S.,Murphy
Josephus,A.,Murphy
Joannes,J.,Murphy
