,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925
Robertus W. Brady,provincial,provincial,provincial,collegium caesariense sancti petri,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,residentia bohemiensis s. francisci xaverii,residentia s. thomae,collegium georgiopolitanum,na,na,na,na,na,na,na,na,na,na,na
Henricus Hudon,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Josephus M. Jerge,collegium sancti francisci xaverii,na,na,domus probationis fridericopolitana,collegium caesariense sancti petri,collegium caesariense sancti petri,collegium caesariense sancti petri,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na
Augustinus Regnier,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Augustus Thebaud,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Carolus O'Connor,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
David Merrick,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Franciscus Michel,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Hector Glackmeyer,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Henricus Duranquet,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium s. crucis,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Henricus Terenziani,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes Holzer,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium georgiopolitanum,collegium georgiopolitanum,na,na,na,na,na,na,na,na,na,na,na,na,na
